学名 withAuthor,和名,別名,ステータス,ID,発表年,,,,,,,,,,,,,,,,,,
Dicranum gonoi Cardot,ゴウノシッポゴケ,ゴオノシッポゴケ,標準,33698,1909,,,,,,,,,,,,,,,,,,
Campylopus japonicus Broth.,ヤマトフデゴケ,ヤマトツリバリゴケ,標準,14548,1899,,,,,,,,,,,,,,,,,,
Campylopus atrovirens De Not.,クロツリバリゴケ,ヤクシマツリバリゴケ,標準,14549,1838,,,,,,,,,,,,,,,,,,
Campylopus umbellatus (Arn.) Paris,フデゴケ,"コフデゴケ, ハネフデゴケ",標準,14551,1894,,,,,,,,,,,,,,,,,,
Leucobryum juniperoideum (Brid.) Müll.Hal.,ホソバオキナゴケ,"ヤマトシラガゴケ, セイナンシラガゴケ",標準,14618,1845,,,,,,,,,,,,,,,,,,
Leucobryum bowringii Mitt.,アラハシラガゴケ,タイワンオキナゴケ,標準,14619,1859,,,,,,,,,,,,,,,,,,
Campylopus schimperi Milde,シンパーツリバリゴケ,ミヤマツリバリゴケ (K.Kobayashi 1963),標準,27052,1864,,,,,,,,,,,,,,,,,,
Bryohumbertia subcomosa (Dixon) J.-P.Frahm,ツリバリゴケモドキ,タカクマユミゴケ,標準,27054,1989,,,,,,,,,,,,,,,,,,
Leucobryum boninense Sull. et Lesq.,ムニンシラガゴケ,オガサワラシラガゴケ,標準,27069,1859,,,,,,,,,,,,,,,,,,
Anoectangium aestivum (Hedw.) Mitt.,ネジレラッキョウゴケ,ナガエノハタキゴケ,標準,14446,1869,,,,,,,,,,,,,,,,,,
Weissia longidens Cardot,ナガバコゴケ,ナガハコゴケ,標準,14453,1907,,,,,,,,,,,,,,,,,,
