学名 withAuthor,和名,別名,ステータス,ID,発表年,,,,,,,,,,,,,,,,,,
Suaeda japonica Makino,シチメンソウ,ミルマツナ，サンゴジュマツナ,標準,7156,1909,,,,,,,,,,,,,,,,,,
Salsola tragus L.,ハリヒジキ,ホソバオカヒジキ，ノハラヒジキ,標準,7157,1756,,,,,,,,,,,,,,,,,,
Deeringia polysperma (Roxb.) Moq.,インドヒモカズラ,ケヒモカズラ,標準,7159,1849,,,,,,,,,,,,,,,,,,
Amaranthus palmeri S.Watson,オオホナガアオゲイトウ,タリホノアオゲイトウ (Osada 1967),標準,7160,1876,,,,,,,,,,,,,,,,,,
Amaranthus caudatus L.,ヒモゲイトウ,センニンコク,標準,7161,1753,,,,,,,,,,,,,,,,,,
Amaranthus blitoides S.Watson,アメリカビユ,イヌヒメシロビユ,標準,7165,1877,,,,,,,,,,,,,,,,,,
Achyranthes aspera L.  var. aspera,ケイノコヅチ,シマイノコヅチ，シロイノコヅチ (Matsumura 1889),標準,7168,1753,,,,,,,,,,,,,,,,,,
Achyranthes bidentata Blume  var. bidentata,モンパイノコヅチ,オキナワイノコヅチ,標準,7169,1825,,,,,,,,,,,,,,,,,,
Achyranthes bidentata Blume  var. japonica Miq.,イノコヅチ,イノコズチ，ヒカゲイノコヅチ,標準,7170,1865,,,,,,,,,,,,,,,,,,
Achyranthes bidentata Blume  var. hachijoensis (Honda) H.Hara,ハチジョウイノコヅチ,テリバイノコヅチ,標準,7172,1966,,,,,,,,,,,,,,,,,,
Dysphania pumilio (R.Br.) Mosyakin et Clemants,ゴウシュウアリタソウ,ゴウシュウアカザ，コアリタソウ,標準,10091,2002,,,,,,,,,,,,,,,,,,
Beta vulgaris L.  var. altissima Döll,テンサイ,サトウダイコン,狭義,10425,1843,,,,,,,,,,,,,,,,,,
Gomphrena globrosa L.,センニチコウ,センニチソウ,標準,11945,1753,,,,,,,,,,,,,,,,,,
Gomphrena haageana Klotzsch,アメリカセンニチコウ,キバナセンニチソウ，ホソバセンニチコウ,標準,11946,1853,,,,,,,,,,,,,,,,,,
Beta vulgaris L.  var. vulgaris,カエンサイ,カチクビート,標準,11952,1753,,,,,,,,,,,,,,,,,,
Chenopodium album L.  var. purpurascens (Jacq.) Kuntze,ムラサキアカザ,モチソバ,標準,14300,1891,,,,,,,,,,,,,,,,,,
Beta vulgaris L.  var. cicla L.,フダンソウ,"テーブルビート， トウチシャ, トウヂシャ",標準,14311,1753,,,,,,,,,,,,,,,,,,
Beta vulgaris L.,テンサイ,サトウダイコン,広義,14314,1753,,,,,,,,,,,,,,,,,,
Dysphania ambrosioides (L.) Mosyakin et Clemants,アリタソウ,ケアリタソウ,標準,15454,2002,,,,,,,,,,,,,,,,,,
Chenopodium leptophyllum (Moq.) Nutt. ex S.Watson,ヒメハマアカザ,ウロコバアカザ (Hatusima 2004),標準,15455,1874,,,,,,,,,,,,,,,,,,
"Chenopodiastrum murale (L.) S.Fuentes, Uotila et Borsch",ミナトアカザ,ノコギリアカザ (Murata 1969),標準,15456,2012,,,,,,,,,,,,,,,,,,
Achyranthes aspera L.  var. rubrofusca (Wight) Hook.f.,ムラサキイノコヅチ,ダイトウイノコヅチ,標準,15458,1885,,,,,,,,,,,,,,,,,,
Alternanthera philoxeroides (Mart.) Griseb.,ナガエツルノゲイトウ,ツルノゲイトウモドキ,標準,15540,1879,,,,,,,,,,,,,,,,,,
Iresine herbstii Hook.f. ex Lindl.,ケショウビユ,"マルバビユ, アキランテス",標準,17428,1864,,,,,,,,,,,,,,,,,,
Bassia scoparia (L.) A.J.Scott  var. subvillosa (Moq.) Lambinon,シラゲホウキギ,ミナトイソボウキ,標準,17516,2000,,,,,,,,,,,,,,,,,,
Bassia littorea (Makino) Freitag et G.Kadereit,イソホウキギ,イソボウキ,標準,23021,2011,,,,,,,,,,,,,,,,,,
Amaranthus powellii S.Watson,ホナガアオゲイトウ,イガホビユ,標準,28022,1875,,,,,,,,,,,,,,,,,,
Amaranthus blitum L.,イヌビユ,ムラサキビユ,標準,28084,1753,,,,,,,,,,,,,,,,,,
Chenopodium gracilispicum H.W.Kung,イワアカザ,ヤマアカザ，ヒメアカザ,標準,29748,1978,,,,,,,,,,,,,,,,,,
Amaranthus tricolor L.,ヒユ,ヒユナ,広義,31625,1753,,,,,,,,,,,,,,,,,,
Atriplex patens (Litv.) Iljin,ホソバハマアカザ,ホソバノハマアカザ,標準,32459,1927,,,,,,,,,,,,,,,,,,
Achyranthes bidentata Blume,イノコヅチ,イノコズチ，ヒカゲイノコヅチ,広義,34878,1825,,,,,,,,,,,,,,,,,,
Deeringia amaranthoides (Lam.) Merr.,コウシュンヒモカズラ,ヒモカズラ,標準,35314,1917,,,,,,,,,,,,,,,,,,
Axyris koreana Nakai,コウライイヌホウキギ,コウライイヌハハキギ,標準,37935,1939,,,,,,,,,,,,,,,,,,
Corispermum candelabrum Iljin,トウカワラヒジキ,マツカサヒジキ,標準,37939,1929,,,,,,,,,,,,,,,,,,
Atriplex fera (L.) Bunge,コハマアカザ,モウコハマアカザ,標準,37948,1880,,,,,,,,,,,,,,,,,,
Atriplex hortensis L.,ヤマホウレンソウ,オラチ,標準,37949,1753,,,,,,,,,,,,,,,,,,
Krascheninnikovia ceratoides (L.) Gueldenst.,ワタフキノキ,ワタフキソウ，ホウキギノキ,標準,37951,1772,,,,,,,,,,,,,,,,,,
Kalidium foliatum (Pall.) Moq.,マツナノキ,マルバマツナノキ,標準,37953,1849,,,,,,,,,,,,,,,,,,
Suaeda salsa (L.) Pall.,ホソバハママツナ,オオハママツナ,標準,37964,1803,,,,,,,,,,,,,,,,,,
Aerva sanguinolenta (L.) Blume,ツルゲイトウ,アカバホクチビユ,標準,37977,1826,,,,,,,,,,,,,,,,,,
Suaeda maritima (L.) Dumort.,ハママツナ,シマハママツナ,広義,45816,1827,,,,,,,,,,,,,,,,,,
Mollugo verticillata L.,クルマバザクロソウ,ヘラザクロソウ (Matsum. ex Owatari & Yabe 1901),標準,2216,1753,,,,,,,,,,,,,,,,,,
Paramollugo nudicaulis (Lam.) Thulin,ザクロソウモドキ,ハナビザクロソウ (Ohba 2003),標準,33099,2016,,,,,,,,,,,,,,,,,,
Glinus oppositifolius (L.) Aug.DC.,ホソバモンパミミナグサ,ハコベモドキ,標準,33100,1901,,,,,,,,,,,,,,,,,,
Glinus lotoides L.,モンパミミナグサ,モンパハコベ,標準,37972,1753,,,,,,,,,,,,,,,,,,
Montia fontana L.,ヌマハコベ,オオミズハコベ，モンチソウ (Yatabe 1892),標準,7105,1753,,,,,,,,,,,,,,,,,,
Claytonia perfoliata Donn ex Willd.,ツキヌキヌマハコベ,エリマキハコベ，フユスベリヒユ,標準,40857,1798,,,,,,,,,,,,,,,,,,
Anredera cordifolia (Ten.) Steenis,アカザカズラ,マデイラカズラ，ツルアカザ,標準,15536,1957,,,,,,,,,,,,,,,,,,
Portulaca oleracea L.,スベリヒユ,オオスベリヒユ，タチスベリヒユ,標準,3430,1753,,,,,,,,,,,,,,,,,,
Portulaca pilosa L.,ヒメマツバボタン,ケツメクサ，ケヅメグサ,標準,5358,1753,,,,,,,,,,,,,,,,,,
Portulaca psammotropha Hance,タイワンスベリヒユ,シマスベリヒユ，マルバケヅメグサ,標準,7104,1851,,,,,,,,,,,,,,,,,,
Talinum paniculatum (Jacq.) Gaertn.,ハゼラン,シュッコンハゼラン,標準,15537,1791,,,,,,,,,,,,,,,,,,
Portulaca oleracea L.  var. sativa (Haw.) DC.,タチスベリヒユ,オオスベリヒユ，タチスベリヒユ,標準,28526,1828,,,,,,,,,,,,,,,,,,
Talinum fruticosum (L.) Juss.,サンカクハゼラン,ブラジルホウレンソウ (nom. vern. Okinawa),標準,41696,1789,,,,,,,,,,,,,,,,,,
Opuntia ficus-indica (L.) Mill.,ウチワサボテン,サボテン,標準,801,1768,,,,,,,,,,,,,,,,,,
Epiphyllum oxypetalum (DC.) Haw.,ゲッカビジン,シロクジャク,標準,10529,1829,,,,,,,,,,,,,,,,,,
Opuntia maxima Mill.,オオガタホウケン,リュウカホウケン,標準,11888,1768,,,,,,,,,,,,,,,,,,
Schlumbergera truncata (Haw.) Moran,シャコバサボテン,シャコサボテン,標準,11892,1953,,,,,,,,,,,,,,,,,,
Schlumbergera russelliana (Hook.) Britton et Rose,カニバサボテン,カニサボテン,標準,11894,1913,,,,,,,,,,,,,,,,,,
Hylocereus triangularis (L.) Britton et Rose,サンカクチュウ,ハイサボテン,標準,11897,1909,,,,,,,,,,,,,,,,,,
Opuntia ficus-indica (L.) Mill.  var. saboten Makino,ウチワサボテン,サボテン,狭義,39892,1931,,,,,,,,,,,,,,,,,,
Tetragonia tetragonoides (Pall.) Kuntze,ツルナ,ハマヂシャ,標準,4090,1891,,,,,,,,,,,,,,,,,,
Sesuvium portulacastrum (L.) L.,ミルスベリヒユ,"ハマミズナ，ハマスベリヒユ (Tashiro in B. M. T. 4: 129, 1890)",標準,6333,1759,,,,,,,,,,,,,,,,,,
Dorotheanthus bellidiformis (Burm.f.) N.E.Br.,ヘラマツバギク,リビングストンデージー,標準,11956,1928,,,,,,,,,,,,,,,,,,
Trianthema portulacastrum L.,スベリヒユモドキ,フシザキハマスベリヒユ (Hosokawa 1932),標準,25268,1753,,,,,,,,,,,,,,,,,,
Mesembryanthemum cordifolium L.f.,ハナヅルソウ,アメリカハナヅルソウ (Nemoto 1936),標準,34114,1782,,,,,,,,,,,,,,,,,,
Phytolacca americana L.,ヨウシュヤマゴボウ,アメリカヤマゴボウ,標準,6866,1753,,,,,,,,,,,,,,,,,,
Phytolacca acinosa Roxb.,ヤマゴボウ,タイワンヤマゴボウ,標準,7100,1832,,,,,,,,,,,,,,,,,,
Pisonia umbellifera (J.R. et G.Forst.) Seem.,ウドノキ,オオクサボク (Hayata 1917)，ウドキ (Koidzumi 1919)，ナガミノウドノキ (Kanehira 1933),標準,1160,1862,,,,,,,,,,,,,,,,,,
Bougainvillea spectabilis Willd.,イカダカズラ,ブーゲンビレア,標準,7111,1799,,,,,,,,,,,,,,,,,,
Pisonia grandis R.Br.  'Alba',キャベツノキ,サラダノキ，モルッカキャベツノキ,標準,11963,0,,,,,,,,,,,,,,,,,,
Mirabilis jalapa L.  f. dichlamydomorpha (Makino) Hiyama,フタエオシロイバナ,フタエオシロイ,標準,19695,1961,,,,,,,,,,,,,,,,,,
Mirabilis longifolia L.,ナガバナオシロイバナ,ナガバナオシロイ,標準,22479,1755,,,,,,,,,,,,,,,,,,
Cornus officinalis Siebold et Zucc.,サンシュユ,ハルコガネバナ，アキサンゴ,標準,2951,1839,,,,,,,,,,,,,,,,,,
Alangium premnifolium Ohwi,シマウリノキ,オキナワウリノキ,標準,3097,1938,,,,,,,,,,,,,,,,,,
Cornus controversa Hemsl.  var. controversa,ミズキ,ハシノキ,標準,6090,1909,,,,,,,,,,,,,,,,,,
Cornus suecica L.,エゾゴゼンタチバナ,エゾタチバナ (Matsumura 1889),標準,14208,1753,,,,,,,,,,,,,,,,,,
Cornus alba L.,シラタマミズキ,カラフトミズキ，ルトカミズキ，シロミズキ,標準,21038,1767,,,,,,,,,,,,,,,,,,
Cornus walteri Wangerin,チョウセンクマノミズキ,チョウセンミズキ,標準,36003,1908,,,,,,,,,,,,,,,,,,
Hydrangea serrata (Thunb.) Ser.  var. angustata (Franch. et Sav.) H.Ohba,アマギアマチャ,ホソバコガク,標準,304,1989,,,,,,,,,,,,,,,,,,
Hydrangea hydrangeoides (Siebold et Zucc.) B.Schulz,イワガラミ,ユキカズラ,標準,673,2013,,,,,,,,,,,,,,,,,,
Deutzia crenata Siebold et Zucc.,ウツギ,ウノハナ,標準,806,1835,,,,,,,,,,,,,,,,,,
Hydrangea serrata (Thunb.) Ser.  var. yesoensis (Koidz.) H.Ohba,エゾアジサイ,ムツアジサイ,標準,915,2001,,,,,,,,,,,,,,,,,,
Deutzia naseana Nakai,オオシマウツギ,オオバナオオシマウツギ,標準,1184,1921,,,,,,,,,,,,,,,,,,
Deutzia crenata Siebold et Zucc.  f. macrocarpa Nakai,オオミウツギ,クマガワウツギ,標準,1372,1921,,,,,,,,,,,,,,,,,,
Hydrangea macrophylla (Thunb.) Ser.  f. normalis (E.H.Wilson) H.Hara,ガクアジサイ,ハマアジサイ，イオウトウアジサイ,標準,1657,1955,,,,,,,,,,,,,,,,,,
Hydrangea scandens (L.f.) Ser.,ガクウツギ,コンテリギ,標準,1658,1830,,,,,,,,,,,,,,,,,,
Hydrangea chinensis Maxim.,カラコンテリギ,シマコンテリギ (Tashiro 1890)，キダチコガク，ナガバコンテリギ,標準,1755,1867,,,,,,,,,,,,,,,,,,
Hydrangea involucrata Siebold  f. hortensis (Maxim.) Ohwi,ギョクダンカ,ヤエノギョクダンカ,標準,2030,1953,,,,,,,,,,,,,,,,,,
Kirengeshoma palmata Yatabe,キレンゲショウマ,コダチレンゲショウマ,標準,2070,1890,,,,,,,,,,,,,,,,,,
Hydrangea alternifolia Siebold,クサアジサイ,エダウチクサアジサイ,標準,2125,1829,,,,,,,,,,,,,,,,,,
Deutzia crenata Siebold et Zucc.  f. plena (Maxim.) C.K.Schneid.,サラサウツギ,ヤエウツギ,標準,2902,,,,,,,,,,,,,,,,,,,
Hydrangea petiolaris Siebold et Zucc.,ツルアジサイ,ゴトウヅル，ツルデマリ,標準,4053,1839,,,,,,,,,,,,,,,,,,
Hydrangea serrata (Thunb.) Ser.  var. yesoensis (Koidz.) H.Ohba  f. cuspidata (Thunb.) Nakai,ヒメアジサイ,テマリアジサイ， ニワアジサイ,標準,4587,1938,,,,,,,,,,,,,,,,,,
Hydrangea paniculata Siebold,ノリウツギ,サビタ,標準,4741,1829,,,,,,,,,,,,,,,,,,
Hydrangea platyarguta Y.De Smet et Granados,バイカアマチャ,モッコバナ,標準,4747,2015,,,,,,,,,,,,,,,,,,
Philadelphus satsumi Siebold ex Lindl. et Paxton,バイカウツギ,サツマウツギ,標準,4748,1851,,,,,,,,,,,,,,,,,,
Deutzia gracilis Siebold et Zucc.,ヒメウツギ,チョウセンウツギ、ヤマウツギ，ヒロハヒメウツギ，ハナヒメウツギ，オオヒメウツギ,標準,5225,1835,,,,,,,,,,,,,,,,,,
Hydrangea serrata (Thunb.) Ser.  var. japonica (Siebold) H.Ohba et S.Akiyama,ベニガクアジサイ,ベニガク,標準,5654,2013,,,,,,,,,,,,,,,,,,
Deutzia bungoensis Hatus.,マルバコウツギ,タカチホウツギ,標準,5979,1954,,,,,,,,,,,,,,,,,,
Hydrangea paniculata Siebold  f. grandiflora (Siebold ex Van Houtte) Ohwi,ミナヅキ,ノリアジサイ,標準,6177,1953,,,,,,,,,,,,,,,,,,
Deutzia crenata Siebold et Zucc.  f. purpurina Honda,ムラサキウツギ,アケボノウツギ,標準,6399,1940,,,,,,,,,,,,,,,,,,
Deutzia yaeyamensis Ohwi,ヤエヤマウツギ,ヤエヤマヒメウツギ,標準,6538,1938,,,,,,,,,,,,,,,,,,
Hydrangea chinensis Maxim.  var. yayeyamensis (Koidz.) T.Yamaz.,ヤエヤマコンテリギ,シマコンテリギ,標準,6545,2001,,,,,,,,,,,,,,,,,,
Hydrangea luteovenosa Koidz.  var. yakusimensis (Masam.) Sugim.,ヤクシマガクウツギ,ヤクシマコンテリギ,標準,6577,1961,,,,,,,,,,,,,,,,,,
Cardiandra alternifolia Siebold et Zucc.  f. mirabilis (Takeda) Sugim. ex H.Ohba,オオバナノクサガク,オオバナクサガク,標準,8810,1985,,,,,,,,,,,,,,,,,,
Hydrangea scandens (L.f.) Ser.  f. rosea Hiyama,ベニガクウツギ,ベニガク,標準,19747,1961,,,,,,,,,,,,,,,,,,
Hydrangea kawagoeana Koidz.  var. grosseserrata (Engl.) Hatus.,ヤクシマアジサイ,ヤクシマコンテリギ,標準,25131,1951,,,,,,,,,,,,,,,,,,
Deutzia pulchra S.Vidal,"オオバウツギ
",ルソンウツギ,標準,25787,1886,,,,,,,,,,,,,,,,,,
Deutzia baroniana Diels,イワウツギ,ヒロハイワウツギ,標準,26237,1900,,,,,,,,,,,,,,,,,,
Deutzia parviflora Bunge,トウウツギ,テマリウツギ，タイハクサンウツギ,標準,26239,1833,,,,,,,,,,,,,,,,,,
Deutzia crenata Siebold et Zucc.  f. pubescens (Makino) H.Hara,ジクゲウツギ,ケウツギ，ビロードウツギ,標準,27119,1957,,,,,,,,,,,,,,,,,,
Philadelphus satsumi Siebold ex Lindl. et Paxton  f. nikoensis (Rehder) Ohwi ex Yonek.,ニッコウバイカウツギ,ケバイカウツギ，ニッコウウツギ，アイノコバイカウツギ,標準,29823,2011,,,,,,,,,,,,,,,,,,
Hydrangea hirta (Thunb.) Siebold et Zucc. x H. scandens (L.f.) Ser.,チチブアジサイ,オクタマコアジサイ,標準,30348,0,,,,,,,,,,,,,,,,,,
Hydrangea densifolia (C.F.Wei) Y.De Smet et Granados,シマクサアジサイ,タイワンクサアジサイ,標準,35589,2015,,,,,,,,,,,,,,,,,,
Hydrangea integrifolia Hayata,クスノハアジサイ,ユズリハアジサイ,標準,35591,1906,,,,,,,,,,,,,,,,,,
Deutzia parviflora Bunge  var. amurensis Regel,ウスゲトウウツギ,ウラゲトウウツギ (Kitagawa 1979),標準,35728,1861,,,,,,,,,,,,,,,,,,
Deutzia paniculata Nakai,ホナガウツギ,ナガボウツギ (Nakai 1914),標準,35729,1913,,,,,,,,,,,,,,,,,,
Philadelphus koreanus Nakai,ヨウトクバイカウツギ,オオバイカウツギ,標準,35739,1943,,,,,,,,,,,,,,,,,,
Philadelphus koreanus Nakai  var. robustus (Nakai) W.T.Lee,ヨウトクバイカウツギ,オオバイカウツギ,標準,35740,1996,,,,,,,,,,,,,,,,,,
Philadelphus pekinensis Rupr.,ヒメバイカウツギ,ベキンバイカウツギ,標準,35742,1857,,,,,,,,,,,,,,,,,,
Philadelphus schrenkii Rupr.  var. mandshuricus (Maxim.) Kitag.,オオバイカウツギ,マンシュウバイカウツギ,標準,35746,1939,,,,,,,,,,,,,,,,,,
Deutzia scabra Thunb.,マルバウツギ,ツクシウツギ,広義,46990,1781,,,,,,,,,,,,,,,,,,
Davidia involucrata Baill.,ハンカチノキ,ハトノキ,標準,12013,1871,,,,,,,,,,,,,,,,,,
Impatiens noli-tangere L.  f. pallida Hermann ex Beger et Em.Schmid,ウスキツリフネ,ウスギツリフネ,標準,762,1925,,,,,,,,,,,,,,,,,,
Impatiens hypophylla Makino  var. microhypophylla (Nakai) H.Hara,エンシュウツリフネソウ,エンシュウツリフネ,標準,1083,1954,,,,,,,,,,,,,,,,,,
Impatiens noli-tangere L.,キツリフネ,ホラガイソウ,標準,1955,1753,,,,,,,,,,,,,,,,,,
Impatiens textorii Miq.  f. pallescens (Honda) H.Hara,シロツリフネ,シロバナツリフネソウ (Honda 1936)，チョウセンツリフネ，チョウセンツリフネソウ (Nakai 1914: 183),標準,3277,1954,,,,,,,,,,,,,,,,,,
Impatiens noli-tangere L.  f. albiflora A.F.Sw. ex Beger et Em.Schmid,ミサカツリフネ,コウサカツリフネ (Hiyama 1958),標準,22669,1925,,,,,,,,,,,,,,,,,,
Impatiens balfourii Hook.f.,ハナツリフネソウ,ゲンペイツリフネ,標準,24594,1903,,,,,,,,,,,,,,,,,,
Impatiens textorii Miq.  f. nudipedicellata Ohtani et Shig.Suzuki,ナメラツリフネソウ,トガクシツリフネ (Hiyama 1954),標準,28100,1962,,,,,,,,,,,,,,,,,,
Impatiens capensis Meerb.,アカボシツリフネソウ,ケープツリフネソウ,標準,28980,1775,,,,,,,,,,,,,,,,,,
Impatiens uniflora Hayata,イチゲツリフネ,ニイタカツリフネ,標準,39327,1908,,,,,,,,,,,,,,,,,,
Polemonium caeruleum L.  subsp. kiushianum (Kitam.) H.Hara,ハナシノブ,チョウセンハナシノブ,標準,4907,1956,,,,,,,,,,,,,,,,,,
Phlox subulata L.,シバザクラ,ハナツメクサ，モスフロックス，ハイフロックス,標準,12316,1753,,,,,,,,,,,,,,,,,,
Phlox drummondii Hook.,キキョウナデシコ,フロックス，ヒメフロックス,標準,12318,1835,,,,,,,,,,,,,,,,,,
Phlox drummondii Hook.  'Stellaris',ホシザキフロックス,スターフロックス，ホシザキキキョウナデシコ,標準,12319,0,,,,,,,,,,,,,,,,,,
Cobaea scandens Cav.,ツルコベア,コボカズラ (Makino 1930),標準,22840,1791,,,,,,,,,,,,,,,,,,
Gilia achilleifolia Benth.,ホソバギリア,ホソバヒメハナシノブ,標準,22844,1833,,,,,,,,,,,,,,,,,,
Gilia capitata Sims,タマザキギリア,タマザキヒメハナシノブ,標準,22846,1826,,,,,,,,,,,,,,,,,,
Linanthus liniflorus (Benth.) Greene,マツバギリア,アママツバ,標準,22848,1892,,,,,,,,,,,,,,,,,,
Gilia tricolor Benth.,サンシキギリア,ヒメハナシノブ (Matsumura 1896)，アメリカハナシノブ (Nemoto 1936),標準,22850,1833,,,,,,,,,,,,,,,,,,
Navarrettia squarrosa (Eschsch.) Hook. et Arn.,イガギリア,イガザクラ,標準,22851,1839,,,,,,,,,,,,,,,,,,
Polemonium caeruleum L.  subsp. yezoense (Miyabe et Kudô) H.Hara  var. yezoense Miyabe et Kudô ,エゾノハナシノブ,エゾハナシノブ，ヒダカハナシノブ,標準,23929,1913,,,,,,,,,,,,,,,,,,
Polemonium caeruleum L.  subsp. yezoense (Miyabe et Kudô) H.Hara,エゾノハナシノブ,エゾハナシノブ，ヒダカハナシノブ，ミヤマハナシノブ,広義,28709,1956,,,,,,,,,,,,,,,,,,
Collomia linearis Nutt.,ホソバヤナギハナシノブ,ホソバコルロミア (Takita 2001),標準,32003,1818,,,,,,,,,,,,,,,,,,
Barringtonia racemosa (L.) Spreng.,サガリバナ,サワフジ,標準,2813,1826,,,,,,,,,,,,,,,,,,
Bertholletia excelsa Humb. et Bonpl.,ブラジルナットノキ,ブラジルナット,標準,12099,1808,,,,,,,,,,,,,,,,,,
Palaquium gutta (Hook.f.) Baill.,グッタペルカノキ,ガタパチャノキ,標準,12344,1884,,,,,,,,,,,,,,,,,,
Chrysophyllum cainito L.,カイニット,スイショウガキ，ホシリンゴ,標準,12349,1753,,,,,,,,,,,,,,,,,,
Planchonella obovata (R.Br.) Pierre,アカテツ,クロテツ,標準,16170,1890,,,,,,,,,,,,,,,,,,
Manilkara zapota (L.) P.Royen,サポジラ,チューインガムノキ，メキシコガキ,標準,16172,1953,,,,,,,,,,,,,,,,,,
Planchonella boninensis (Nakai) Masam. et Yanagih.,ムニンノキ,オオバクロテツ,標準,18348,1941,,,,,,,,,,,,,,,,,,
Palaquium formosanum Hayata,オオバアカテツ,アカテツモドキ,標準,40501,1911,,,,,,,,,,,,,,,,,,
Pouteria campechiana (Kunth) Baehni,クダモノタマゴ,"タマゴノキ, カニステル, タマゴクダモノ",標準,40713,1942,,,,,,,,,,,,,,,,,,
Calocarpum sapota (Jacq.) Merr.,オオミアカテツ,チコマメー,標準,40827,1923,,,,,,,,,,,,,,,,,,
Diospyros oldhamii Maxim.,オルドガキ,タイワンガキ,標準,1618,1886,,,,,,,,,,,,,,,,,,
Diospyros kaki Thunb.,カキノキ,カキ,標準,1650,1780,,,,,,,,,,,,,,,,,,
Diospyros morrisiana Hance,トキワガキ,トキワマメガキ，タイワンマメガキ,標準,4228,1852,,,,,,,,,,,,,,,,,,
Diospyros lotus L.  var. laevis H.Ohba et S.Akiyama,マメガキ,ブドウガキ,標準,5940,2016,,,,,,,,,,,,,,,,,,
Diospyros maritima Blume,リュウキュウガキ,クサノガキ，クロボウ,標準,6934,1825,,,,,,,,,,,,,,,,,,
Diospyros japonica Siebold et Zucc.,リュウキュウマメガキ,シナノガキ (Siebold & Zuccarini 1846),標準,6974,1846,,,,,,,,,,,,,,,,,,
Diospyros egbertwalkeri Kosterm.,ヤエヤマコクタン,リュウキュウコクタン,標準,16174,1977,,,,,,,,,,,,,,,,,,
Diospyros rhombifolia Hemsl.,ツクバネガキ,ロウヤガキ,標準,40512,1889,,,,,,,,,,,,,,,,,,
Diospyros discolor Willd.,ケガキ,タイワンコクタン,標準,40514,1805,,,,,,,,,,,,,,,,,,
Diospyros lotus L.,マメガキ,ブドウガキ,広義,46834,1753,,,,,,,,,,,,,,,,,,
Maesa japonica (Thunb.) Moritzi et Zoll.,イズセンリョウ,ウバガネモチ，ナガバイズセンリョウ，マルバイズセンリョウ,標準,456,1854,,,,,,,,,,,,,,,,,,
"Lysimachia maritima (L.) Galasso, Banfi et Soldano  var. obtusifolia (Fernald) Yonek.",ウミミドリ,シオマツバ (Matsumura 1894),標準,830,2011,,,,,,,,,,,,,,,,,,
Primula jesoana Miq.  var. jesoana,オオサクラソウ,ミヤマサクラソウ,標準,1174,1867,,,,,,,,,,,,,,,,,,
Ardisia walkeri Yuen P.Yang,オオツルコウジ,ミヤマヤブコウジ、ボウシュウヅル,標準,1231,1989,,,,,,,,,,,,,,,,,,
Primula malacoides Franch.,オトメザクラ,オトメコザクラ，ケショウザクラ，ヒメサクラソウ,標準,1521,1886,,,,,,,,,,,,,,,,,,
Ardisia crispa (Thunb.) A.DC.,カラタチバナ,ヒトモトマンリョウ,標準,1768,1834,,,,,,,,,,,,,,,,,,
Lysimachia acroadenia Maxim.,ギンレイカ,ミヤマタゴボウ,標準,2115,1867,,,,,,,,,,,,,,,,,,
Lysimachia japonica Thunb.,コナスビ,ナガエコナスビ,標準,2631,1784,,,,,,,,,,,,,,,,,,
Cyclamen persicum Mill.,シクラメン,"ブタノマンジュウ，カガリビバナ (Makino in J. J. B. 8(5): (248), 1932)",標準,2985,1768,,,,,,,,,,,,,,,,,,
Ardisia quinquegona Blume,シシアクチ,ミヤマアクチノキ,標準,3005,1825,,,,,,,,,,,,,,,,,,
Ardisia cymosa Blume,シナヤブコウジ,シナタチバナ．シナマンリョウ,標準,3060,1826,,,,,,,,,,,,,,,,,,
Ardisia japonica (Thunb.) Blume  f. albifructa (H.Hara) Sugim.,シロミヤブコウジ,シロタチバナ,標準,3331,1961,,,,,,,,,,,,,,,,,,
Myrsine seguinii H.Lév.,タイミンタチバナ,ヒチノキ、ソゲキ,標準,3583,1914,,,,,,,,,,,,,,,,,,
Myrsine stolonifera (Koidz.) E.Wakler,ツルマンリョウ,ツルアカミノキ、アカミノイヌツゲ,標準,4104,1940,,,,,,,,,,,,,,,,,,
Samolus parviflorus Raf.,ハイハマボッス,ヤチハコベ,標準,4768,1818,,,,,,,,,,,,,,,,,,
Ardisia crenata Sims,マンリョウ,ナガバマンリョウ，オオマンリョウ，オオミマンリョウ，オオバマンリョウ，トガリマンリョウ，ハナタチバナ,標準,6054,1817,,,,,,,,,,,,,,,,,,
Lysimachia sikokiana Miq.,モロコシソウ,ヤマクネンボ,標準,6520,1867,,,,,,,,,,,,,,,,,,
Ardisia crispa (Thunb.) A.DC.  var. caducipila (Nakai) Ohwi,ヤクシマタチバナ,コバタチバナ,標準,6594,1953,,,,,,,,,,,,,,,,,,
Ardisia japonica (Thunb.) Blume,ヤブコウジ,ヤマタチバナ,標準,6674,1825,,,,,,,,,,,,,,,,,,
Lysimachia leucantha Miq.,サワトラノオ,ミズトラノオ,標準,8083,1867,,,,,,,,,,,,,,,,,,
Lysimachia japonica Thunb.  var. minutissima Masam.,ヒメコナスビ,ヤクシマコナスビ,標準,8085,1932,,,,,,,,,,,,,,,,,,
Lysimachia decurrens G.Forst.,シマギンレイカ,シマギンレイソウ,標準,8090,1786,,,,,,,,,,,,,,,,,,
Lysimachia europaea (L.) U.Manns et Anderb.,ツマトリソウ,"オオツマトリソウ, コツマトリソウ",標準,8095,2009,,,,,,,,,,,,,,,,,,
